X,Y,NUME,JUDET,PRESCURTARE_JUDET
23.57,46.07,Alba Iulia,Alba,AB
23.37,45.84,Cugir,Alba,AB
23.72,46.31,Aiud,Alba,AB
23.57,45.96,Sebes,Alba,AB
23.92,46.18,Blaj,Alba,AB
23.85,46.39,Ocna Mures,Alba,AB
23.68,46.21,Teius,Alba,AB
23.05,46.37,Campeni,Alba,AB
23.07,46.27,Abrud,Alba,AB
23.22,46.11,Zlatna,Alba,AB
23.56,45.92,Petresti,Alba,AB
23.81,46.4,Unirea,Alba,AB
23.28,46.38,Baia de Aries,Alba,AB
23.67,46.01,Daia Romana,Alba,AB
23.49,45.99,Vintu de Jos,Alba,AB
23.35,45.89,Vinerea,Alba,AB
23.73,46.16,Mihalt,Alba,AB
23.69,46.32,Aiudul de Sus,Alba,AB
23.84,46.19,Bucerdea Granoasa,Alba,AB
23.58,46.1,Barabant,Alba,AB
23.91,46.43,Lunca Muresului,Alba,AB
23.9,46.17,Izvoarele,Alba,AB
24.17,46.25,Cetatea de Balta,Alba,AB
23.84,46.17,Craciunelu de Jos,Alba,AB
23.62,46.18,Galda de Jos,Alba,AB
23.54,46.13,Sard,Alba,AB
24.05,46.13,Valea Lunga,Alba,AB
23.59,46.02,Oarda,Alba,AB
23.89,46.16,Tiur,Alba,AB
23.95,46.2,Sancel,Alba,AB
23.48,45.9,Pianu de Sus,Alba,AB
23.1,46.38,Bistra,Alba,AB
23.92,46.17,Veza,Alba,AB
23.13,46.31,Rosia Montana,Alba,AB
23.87,46.41,Razboieni-Cetate,Alba,AB
23.58,45.88,Sasciori,Alba,AB
23.76,46.31,Ciumbrud,Alba,AB
23.56,45.99,Lancram,Alba,AB
24.06,46.25,Sanmiclaus,Alba,AB
23.72,45.86,Garbova,Alba,AB
23.64,46.22,Stremt,Alba,AB
23.56,46.1,Micesti,Alba,AB
23.88,46.39,Uioara de Sus,Alba,AB
24,46.23,Biia,Alba,AB
23.67,45.94,Cut,Alba,AB
23.06,46.28,Abrud-Sat,Alba,AB
23.84,46.37,Uioara de Jos,Alba,AB
23.34,45.94,Sibot,Alba,AB
23.63,45.78,Sugag,Alba,AB
23.4,45.91,Salistea,Alba,AB
24.11,46.22,Jidvei,Alba,AB
23.5,46.16,Telna,Alba,AB
23.66,45.89,Calnic,Alba,AB
23.57,46.18,Cricau,Alba,AB
23.52,46.15,Ighiu,Alba,AB
23.3,46.1,Fenes,Alba,AB
23.65,46.14,Santimbru,Alba,AB
23.49,45.94,Pianu de Jos,Alba,AB
23.82,46.29,Lopadea Noua,Alba,AB
24.06,46.19,Balcaciu,Alba,AB
24.01,46.06,Cenade,Alba,AB
23.64,45.77,Dobra,Alba,AB
23.57,45.89,Sebesel,Alba,AB
23.53,46.16,Bucerdea Vanoasa,Alba,AB
23.48,46.15,Ighiel,Alba,AB
24.14,46.27,Veseus,Alba,AB
23.92,46.1,Cergau Mare,Alba,AB
24.14,46.23,Feisa,Alba,AB
23.75,46.29,Sancrai,Alba,AB
24.02,46.22,Sona,Alba,AB
23.6,45.85,Capalna,Alba,AB
23.71,46.37,Miraslau,Alba,AB
23.62,45.9,Rahau,Alba,AB
24.11,46.24,Capalna de Jos,Alba,AB
23.59,46.25,Geoagiu de Sus,Alba,AB
23.13,46.1,Almasu Mare,Alba,AB
23.63,46.16,Oiejdea,Alba,AB
23.93,46.41,Noslac,Alba,AB
23.97,46.14,Manarade,Alba,AB
23.89,46.06,Rosia de Secas,Alba,AB
23.64,46.35,Livezile,Alba,AB
23.77,46.17,Obreja,Alba,AB
22.88,46.46,Scarisoara,Alba,AB
24.17,46.2,Tatarlaua,Alba,AB
23.21,46.37,Lupsa,Alba,AB
23.56,46.42,Coltesti,Alba,AB
23.86,46.28,Ciuguzel,Alba,AB
23.41,45.93,Tartaria,Alba,AB
23.52,45.88,Rachita,Alba,AB
23.23,46.38,Valea Lupsii,Alba,AB
24.01,46.34,Farau,Alba,AB
23.76,46.38,Decea,Alba,AB
23.72,46.27,Radesti,Alba,AB
23.96,46.22,Panade,Alba,AB
23.79,46.07,Ohaba,Alba,AB
23.45,46.12,Ampoita,Alba,AB
23.72,46.03,Ghirbom,Alba,AB
23.75,46.01,Vingard,Alba,AB
23.42,46.4,Salciua de Jos,Alba,AB
23.52,46.05,Paclisa,Alba,AB
23.39,45.98,Blandiana,Alba,AB
23.75,46.19,Cistei,Alba,AB
23.74,46.08,Berghin,Alba,AB
23.81,46.38,Cisteiu de Mures,Alba,AB
23.57,46.45,Rametea,Alba,AB
23.36,45.94,Balomiru de Camp,Alba,AB
23.47,46.1,Tauti,Alba,AB
23.65,46.34,Magina,Alba,AB
23.4,46.39,Salciua de Sus,Alba,AB
23.79,46.31,Bagau,Alba,AB
23.84,45.97,Dostat,Alba,AB
23.03,46.26,Ciuruleasa,Alba,AB
23.55,45.86,Loman,Alba,AB
23.78,45.97,Spring,Alba,AB
23.63,46.06,Seusa,Alba,AB
23.72,45.93,Cunta,Alba,AB
23.15,46.15,Trampoiele,Alba,AB
23.17,46.36,Musca,Alba,AB
23.84,46.07,Tau,Alba,AB
23.72,46.35,Gambas,Alba,AB
23.74,45.94,Drasov,Alba,AB
23.66,46.11,Totoi,Alba,AB
23.59,46.24,Cetea,Alba,AB
24.07,46.11,Lunca,Alba,AB
23.82,46.25,Beta,Alba,AB
23.46,46.02,Valea Vintului,Alba,AB
23.96,46.43,Gura Ariesului,Alba,AB
23.44,46.43,Posaga de Jos,Alba,AB
23.59,45.79,Martinie,Alba,AB
22.97,46.45,Albac,Alba,AB
23.47,46.48,Ocolis,Alba,AB
23.28,46.08,Valea Mica,Alba,AB
23.63,45.86,Deal,Alba,AB
23.61,46.36,Poiana Aiudului,Alba,AB
23.59,46.21,Benic,Alba,AB
23.67,46.08,Hapria,Alba,AB
23.36,45.97,Acmariu,Alba,AB
23.73,46.11,Henig,Alba,AB
24.13,46.15,Tauni,Alba,AB
23.3,46.39,Sartas,Alba,AB
24.11,46.33,Silea,Alba,AB
23.17,46.15,Izvoru Ampoiului,Alba,AB
23.62,46.26,Geomal,Alba,AB
23.56,46.22,Galda de Sus,Alba,AB
23.58,45.87,Laz,Alba,AB
23.29,46.09,Galati,Alba,AB
23.67,46.26,Garbova de Jos,Alba,AB
22.9,46.51,Matisesti,Alba,AB
23.33,46.1,Presaca Ampoiului,Alba,AB
23.47,46,Vurpar,Alba,AB
23.99,46.22,Lunca Tarnavei,Alba,AB
23.6,45.74,Arti,Alba,AB
23.94,46.21,Iclod,Alba,AB
23.42,46.1,Metes,Alba,AB
23.56,46.2,Tibru,Alba,AB
23.14,46.39,Garde,Alba,AB
22.83,46.46,Garda de Sus,Alba,AB
23.61,46.05,Ciugud,Alba,AB
23.74,46.45,Mahaceni,Alba,AB
23.74,46.42,Ciugudu de Jos,Alba,AB
23.26,46.37,Muncelu,Alba,AB
23.66,46.38,Lopadea Veche,Alba,AB
23.58,45.68,Tau Bistra,Alba,AB
23.26,46.09,Patrangeni,Alba,AB
23.69,46.16,Coslariu,Alba,AB
23.69,46.07,Straja,Alba,AB
23.87,46.32,Hoparta,Alba,AB
23.66,46.14,Galtiu,Alba,AB
23.04,46.3,Daroaia,Alba,AB
23.06,46.32,Carpinis,Alba,AB
23.19,46.06,Cib,Alba,AB
23.94,46.41,Captalan,Alba,AB
23.77,46.44,Dumbrava,Alba,AB
23.49,45.83,Purcareti,Alba,AB
23.63,46.09,Teleac,Alba,AB
23.98,46.36,Heria,Alba,AB
23.94,46.08,Cergau Mic,Alba,AB
23.07,46.38,Valea Bistrii,Alba,AB
22.92,46.52,Darlesti,Alba,AB
23.53,46.19,Craiva,Alba,AB
23.97,46.1,Lupu,Alba,AB
24.05,46.31,Sanbenedic,Alba,AB
23.63,46.08,Drambar,Alba,AB
23.8,45.95,Boz,Alba,AB
23.73,46.21,Capud,Alba,AB
23.21,46.36,Hadarau,Alba,AB
23.92,46.31,Turdas,Alba,AB
23.73,46.25,Leorint,Alba,AB
23.13,46.29,Corna,Alba,AB
22.8,46.38,Tarsa,Alba,AB
23.62,46.29,Garbova de Sus,Alba,AB
23.31,46.49,Sagagea,Alba,AB
23.17,46.34,Lazuri,Alba,AB
23.83,46.02,Ungurei,Alba,AB
24.15,46.24,Santamarie,Alba,AB
23.81,46.1,Secasel,Alba,AB
23.54,46.4,Izvoarele,Alba,AB
23.39,46.09,Poiana Ampoiului,Alba,AB
23.79,46.37,Micoslaca,Alba,AB
24.01,46.41,Gabud,Alba,AB
23.66,45.83,Carpinis,Alba,AB
23.91,46.34,Spalnaca,Alba,AB
23.28,45.94,Bacainti,Alba,AB
23.09,46.4,Hodisesti,Alba,AB
23.07,46.41,Dealu Capsei,Alba,AB
22.96,46.46,Fata,Alba,AB
23.53,45.81,Tonea,Alba,AB
23.92,46.19,Petrisat,Alba,AB
23.32,46.4,Brazesti,Alba,AB
22.81,46.51,Ocoale,Alba,AB
23.32,46.38,Cioara de Sus,Alba,AB
23.57,45.76,Barsana,Alba,AB
23.71,46.43,Ciugudu de Sus,Alba,AB
22.95,46.5,Horea,Alba,AB
23.09,46.26,Gura Cornei,Alba,AB
23.6,46.04,Limba,Alba,AB
23.43,46.09,Valeni,Alba,AB
24,46.29,Alecus,Alba,AB
23.11,46.39,Ciuldesti,Alba,AB
23.74,46.22,Petelca,Alba,AB
23.56,46.39,Valisoara,Alba,AB
23.74,46.24,Mescreac,Alba,AB
24.07,46.12,Lodroman,Alba,AB
23.67,45.87,Reciu,Alba,AB
22.97,46.42,Dealu Frumos,Alba,AB
23.16,46.06,Glod,Alba,AB
23.79,46.39,Inoc,Alba,AB
23.38,46.46,Posaga de Sus,Alba,AB
23.12,46.39,Dealu Muntelui,Alba,AB
22.99,46.49,Dealu Lamasoi,Alba,AB
24.06,46.31,Medves,Alba,AB
23.03,46.28,Soharu,Alba,AB
23.22,46.14,Valtori,Alba,AB
23.68,46.4,Cicau,Alba,AB
23.31,45.94,Saracsau,Alba,AB
24.18,46.17,Craciunelu de Sus,Alba,AB
23.46,46.44,Lunca,Alba,AB
23.43,45.9,Salistea-Deal,Alba,AB
23.72,46.24,Beldiu,Alba,AB
23.06,46.33,Curaturi,Alba,AB
23.94,46.35,Vama Seaca,Alba,AB
22.74,46.49,Cobles,Alba,AB
23.11,46.07,Almasu de Mijloc,Alba,AB
23.19,46.16,Parau Gruiului,Alba,AB
23.98,46.42,Copand,Alba,AB
23.38,46.31,Geogel,Alba,AB
23.89,46.3,Asinip,Alba,AB
23.44,46.35,Vale In Jos,Alba,AB
23.71,45.97,Carpen,Alba,AB
23.15,46.08,Nadastia,Alba,AB
24.01,46.15,Glogovet,Alba,AB
23.01,46.34,Sohodol,Alba,AB
22.99,46.39,Necsesti,Alba,AB
23.11,46.36,Cretesti,Alba,AB
23.5,45.86,Strungari,Alba,AB
22.92,46.45,Stiuleti,Alba,AB
23.18,46.28,Valea Sesii,Alba,AB
23.88,46.34,Silivas,Alba,AB
24,46.43,Stana de Mures,Alba,AB
23.6,46.19,Mesentea,Alba,AB
23.37,46.21,Necrilesti,Alba,AB
22.76,46.49,Fata Cristesei,Alba,AB
22.99,46.46,Barasti,Alba,AB
23.17,46.37,Pitiga,Alba,AB
23.12,46.26,Bucium-Sat,Alba,AB
22.94,46.49,Fericet,Alba,AB
22.73,46.47,Galbena,Alba,AB
23.45,46.5,Runc,Alba,AB
23.03,46.35,Gura Sohodol,Alba,AB
22.86,46.41,Costesti,Alba,AB
23.43,45.99,Mereteu,Alba,AB
23.09,46.39,Lipaia,Alba,AB
23.09,46.32,Vartop,Alba,AB
23.02,46.22,Moraresti,Alba,AB
22.99,46.33,Bradeana,Alba,AB
22.89,46.48,Runc,Alba,AB
22.97,46.4,Vadu Motilor,Alba,AB
23.45,46.38,Sub Piatra,Alba,AB
22.98,46.52,Patrusesti,Alba,AB
22.88,46.4,Poiana Vadului,Alba,AB
23.4,46.37,Valea Larga,Alba,AB
23.07,46.36,Varsi,Alba,AB
23.39,46.14,Lunca Ampoitei,Alba,AB
23.03,46.37,Mihoesti,Alba,AB
22.96,46.36,Valea Morii,Alba,AB
22.86,46.51,Negesti,Alba,AB
23.24,46.28,Poienile-Mogos,Alba,AB
22.83,46.41,Pastesti,Alba,AB
23.02,46.39,Floresti,Alba,AB
23.01,46.23,Matisesti,Alba,AB
22.77,46.46,Dealu Bajului,Alba,AB
22.83,46.36,Avram Iancu,Alba,AB
22.84,46.4,Fagetu de Sus,Alba,AB
22.94,46.44,Dupa Plese,Alba,AB
23.02,46.36,Lazuri,Alba,AB
23.53,46.24,Poiana Galdei,Alba,AB
23.13,46.31,Tarina,Alba,AB
23.25,46.09,Suseni,Alba,AB
23.21,46.35,Vai,Alba,AB
22.88,46.41,Stanesti,Alba,AB
23.07,46.36,Boncesti,Alba,AB
23.75,46.34,Pagida,Alba,AB
23.64,46.28,Garbovita,Alba,AB
23.16,46.14,Pirita,Alba,AB
22.99,46.41,Bodesti,Alba,AB
23.34,46.45,Orasti,Alba,AB
22.96,46.41,Poduri-Bricesti,Alba,AB
23.06,46.35,Fata Abrudului,Alba,AB
23.52,46.48,Vidolm,Alba,AB
23.42,46.25,Modolesti,Alba,AB
23.45,46.04,Inuri,Alba,AB
22.94,46.41,Popestii de Sus,Alba,AB
23.01,46.38,Botesti,Alba,AB
23.28,46.28,Mogos,Alba,AB
23.4,46.34,Ponor,Alba,AB
23.52,46.3,Valea Manastirii,Alba,AB
23.01,46.26,Boglesti,Alba,AB
23.05,46.4,Dric,Alba,AB
23.1,46.37,Lunca Merilor,Alba,AB
23.13,46.41,Trisoresti,Alba,AB
23.45,45.82,Mugesti,Alba,AB
23.05,46.35,Poduri,Alba,AB
22.91,46.49,Costesti,Alba,AB
23.13,46.39,Ganesti,Alba,AB
22.82,46.44,Plai,Alba,AB
23.58,45.8,Plesi,Alba,AB
23.29,46.26,Barlesti,Alba,AB
22.81,46.48,Garda Seaca,Alba,AB
23.14,46.26,Valea Abruzel,Alba,AB
23.1,46.39,Hudricesti,Alba,AB
23.01,46.34,Bilanesti,Alba,AB
22.78,46.47,Fata Lapusului,Alba,AB
23.04,46.23,Buninginea,Alba,AB
22.72,46.48,Izlaz,Alba,AB
23.21,46.25,Poieni,Alba,AB
23.01,46.41,Borlesti,Alba,AB
23.4,45.79,Bucuru,Alba,AB
23.06,46.31,Coasta Hentii,Alba,AB
23.03,46.4,Valea Caselor,Alba,AB
23.45,46,Campu Goblii,Alba,AB
23.55,46.33,Cotorasti,Alba,AB
23.68,46.1,Dumitra,Alba,AB
23.59,45.72,Jidostina,Alba,AB
22.95,46.36,Plescuta,Alba,AB
23.34,46.27,Valea Barnii,Alba,AB
23.05,46.41,Coasta Vascului,Alba,AB
23.22,46.24,Valea Negrilesii,Alba,AB
23.39,46.38,Dealu Caselor,Alba,AB
23.22,46.38,Lunca,Alba,AB
22.93,46.41,Tomutesti,Alba,AB
23.33,46.24,Ghioncani,Alba,AB
23.37,46.14,Lunca Metesului,Alba,AB
23.72,46.4,Ormenis,Alba,AB
23.49,46.01,Parau lui Mihai,Alba,AB
23.11,46.25,Cerbu,Alba,AB
22.82,46.49,Ghetari,Alba,AB
22.86,46.4,Duduieni,Alba,AB
23.44,46.31,Dupa Deal,Alba,AB
23.13,46.38,Lunca Larga,Alba,AB
22.77,46.43,Biharia,Alba,AB
23.41,46.24,Intregalde,Alba,AB
22.78,46.48,Pantesti,Alba,AB
23.06,46.38,Dealu Bistrii,Alba,AB
23.44,45.83,Calene,Alba,AB
22.94,46.33,Luminesti,Alba,AB
23.09,46.41,Ratitis,Alba,AB
22.79,46.45,Snide,Alba,AB
23.18,46.26,Bucium,Alba,AB
22.99,46.47,Cionesti,Alba,AB
22.91,46.4,Fagetu de Jos,Alba,AB
23.35,45.81,Feteni,Alba,AB
22.9,46.48,Lespezea,Alba,AB
23.07,46.33,Soal,Alba,AB
22.84,46.37,Dolesti,Alba,AB
22.86,46.43,Fata-Lazesti,Alba,AB
22.91,46.42,Lazesti,Alba,AB
23.21,46.25,Valea Alba,Alba,AB
23.51,46.33,Valea Inzelului,Alba,AB
23.09,46.36,Dandut,Alba,AB
23.6,45.88,Dumbrava,Alba,AB
22.85,46.39,Hanasesti,Alba,AB
23.39,46.23,Ivanis,Alba,AB
23.43,46.53,Lunca Larga,Alba,AB
23.1,46.44,Poiana,Alba,AB
23.69,46.26,Tifra,Alba,AB
22.97,46.48,Budaiesti,Alba,AB
23.15,46.18,Botesti,Alba,AB
22.79,46.4,Calugaresti,Alba,AB
23.43,46.28,Dealu Geoagiului,Alba,AB
22.83,46.48,Hanasesti,Alba,AB
22.96,46.43,Rogoz,Alba,AB
22.97,46.24,Vulcan,Alba,AB
23.43,46.37,Dumesti,Alba,AB
23.52,46.29,Fata Pietrii,Alba,AB
22.84,46.45,Huzaresti,Alba,AB
23.28,46.23,Valea Mlacii,Alba,AB
22.96,46.4,Popestii de Jos,Alba,AB
23.94,46.14,Spatac,Alba,AB
23.12,46.35,Varsii Mici,Alba,AB
22.98,46.37,Dragoiesti-Lunca,Alba,AB
23.47,46,Valea Goblii,Alba,AB
22.93,46.39,Haiducesti,Alba,AB
23.04,46.38,Motorasti,Alba,AB
22.93,46.53,Trifesti,Alba,AB
23.12,46.33,Garda-Barbulesti,Alba,AB
22.85,46.52,Sfoartea,Alba,AB
23.06,46.31,Gura Rosiei,Alba,AB
22.83,46.34,Vidrisoara,Alba,AB
22.76,46.48,Arieseni,Alba,AB
22.95,46.52,Giurgiut,Alba,AB
23.51,46.31,Valea Uzei,Alba,AB
23.09,46.3,Blidesti,Alba,AB
22.83,46.49,Dealu Frumos,Alba,AB
23.08,46.31,Ignatesti,Alba,AB
22.98,46.34,Hoanca,Alba,AB
23.07,46.24,Ghedulesti,Alba,AB
23.42,45.91,Margineni,Alba,AB
22.85,46.49,Preluca,Alba,AB
22.79,46.38,Verdesti,Alba,AB
23.51,45.84,Plaiuri,Alba,AB
23.79,46.23,Soimus,Alba,AB
23.03,46.41,Certege,Alba,AB
23.08,46.34,Furduiesti,Alba,AB
22.83,46.42,Petelei,Alba,AB
23.68,46.18,Coslariu Nou,Alba,AB
24.17,46.15,Faget,Alba,AB
22.98,46.51,Preluca,Alba,AB
22.71,46.51,Bubesti,Alba,AB
23.02,46.34,Vladosesti,Alba,AB
22.81,46.36,Cocesti,Alba,AB
23.79,46.11,Colibi,Alba,AB
23.47,46.35,Valea Poienii,Alba,AB
23.16,46.34,Dupa Deal,Alba,AB
22.84,46.47,Mununa,Alba,AB
23.1,46.25,Anghelesti,Alba,AB
22.95,46.38,Culdesti,Alba,AB
22.75,46.47,Stei-Arieseni,Alba,AB
23.99,46.41,Valea Ciuciului,Alba,AB
23.3,46.28,Cristesti,Alba,AB
22.92,46.39,Dealu Goiesti,Alba,AB
22.96,46.37,Dos,Alba,AB
23.12,46.24,Valea Cerbului,Alba,AB
23.13,46.19,Budeni,Alba,AB
22.94,46.51,Butesti,Alba,AB
23.27,45.97,Ceru-Bacainti,Alba,AB
23.84,46.26,Odverem,Alba,AB
22.93,46.44,Potionci,Alba,AB
23.31,46.22,Sfarcea,Alba,AB
23.43,45.77,Bocsitura,Alba,AB
22.96,46.49,Mancesti,Alba,AB
22.99,46.38,Runc,Alba,AB
23.23,46.32,Vinta,Alba,AB
23.1,46.42,Balesti-Catun,Alba,AB
22.94,46.38,Lunca Vesesti,Alba,AB
23.17,46.38,Manastire,Alba,AB
22.88,46.36,Nemesi,Alba,AB
23.01,46.45,Tomusesti,Alba,AB
23.1,46.43,Durasti,Alba,AB
22.74,46.45,Patrahaitesti,Alba,AB
22.92,46.38,Goiesti,Alba,AB
22.96,46.53,Zanzesti,Alba,AB
23.13,46.36,Barlesti,Alba,AB
23.24,46.38,Valea Sesii,Alba,AB
23.2,46.36,Posogani,Alba,AB
23.14,46.25,Coleseni,Alba,AB
23,46.37,Bobaresti,Alba,AB
22.88,46.37,Lunca Bisericii,Alba,AB
22.98,46.51,Teiu,Alba,AB
23.37,46.32,Valea Bucurului,Alba,AB
22.98,46.3,Lehesti,Alba,AB
22.94,46.38,Oidesti,Alba,AB
22.99,46.37,Puiuletesti,Alba,AB
22.99,46.35,Sebisesti,Alba,AB
22.91,46.38,Lunca Goiesti,Alba,AB
22.8,46.38,Orgesti,Alba,AB
22.77,46.4,Plai,Alba,AB
22.8,46.47,Sturu,Alba,AB
22.86,46.36,Incesti,Alba,AB
22.98,46.34,Peles,Alba,AB
23.14,46.24,Izbita,Alba,AB
23.13,46.4,Namas,Alba,AB
23.37,46.28,Cojocani,Alba,AB
22.94,46.4,Valtori,Alba,AB
22.93,46.45,Plesesti,Alba,AB
22.96,46.48,Rusesti,Alba,AB
22.8,46.44,Sucesti,Alba,AB
23.08,46.42,Dambureni,Alba,AB
22.77,46.52,Hodobana,Alba,AB
22.84,46.46,Izvoarele,Alba,AB
22.94,46.54,Petreasa,Alba,AB
23.48,46.27,Tecsesti,Alba,AB
23.26,46.26,Valea Tupilor,Alba,AB
23.01,46.37,Burzonesti,Alba,AB
23.19,46.26,Ciuculesti,Alba,AB
23.49,46.04,Criseni,Alba,AB
23.26,45.99,Cucuta,Alba,AB
22.88,46.43,Matei,Alba,AB
23,46.31,Simocesti,Alba,AB
23.49,46.03,Stauini,Alba,AB
22.82,46.47,Dobresti,Alba,AB
22.86,46.36,Martesti,Alba,AB
22.73,46.51,Poienita,Alba,AB
23.49,46.1,Padurea,Alba,AB
23.11,46.21,Rusi,Alba,AB
22.85,46.37,Patrutesti,Alba,AB
23.25,46.1,Podu lui Paul,Alba,AB
22.93,46.48,Rosesti,Alba,AB
22.89,46.37,Vidra,Alba,AB
22.99,46.36,Bogdanesti,Alba,AB
22.9,46.44,Floresti,Alba,AB
23.52,46.32,Valea Fagetului,Alba,AB
23.01,46.32,Bazesti,Alba,AB
22.78,46.54,Casa de Piatra,Alba,AB
23.1,46.39,Poiu,Alba,AB
23.53,46.31,Ramet,Alba,AB
22.82,46.36,Coroiesti,Alba,AB
22.96,46.38,Ficaresti,Alba,AB
22.83,46.38,Gojeiesti,Alba,AB
22.91,46.37,Lunca,Alba,AB
23.4,46.29,Macaresti,Alba,AB
23.47,46.33,Bradesti,Alba,AB
22.84,46.36,Heleresti,Alba,AB
23.03,46.44,Peste Valea Bistrii,Alba,AB
23.1,46.1,Bradet,Alba,AB
23.02,46.36,Dilimani,Alba,AB
23.28,46.29,Mamaligani,Alba,AB
23.42,46.3,Oncesti,Alba,AB
23.28,46.31,Valea Giogesti,Alba,AB
22.99,46.31,Furduiesti,Alba,AB
22.99,46.34,Bobaresti,Alba,AB
22.97,46.27,Bodresti,Alba,AB
23.18,46.04,Cheile Cibului,Alba,AB
23.11,46.35,Mihaiesti,Alba,AB
23,46.29,Munesti,Alba,AB
23.01,46.32,Nicoresti,Alba,AB
22.94,46.37,Valcaneasa,Alba,AB
22.75,46.48,Avramesti,Alba,AB
22.91,46.37,Dosu Luncii,Alba,AB
22.8,46.39,Dumacesti,Alba,AB
23.27,45.98,Dumbravita,Alba,AB
22.94,46.42,Lazesti,Alba,AB
23.54,46.24,Magura,Alba,AB
23.14,46.35,Tolacesti,Alba,AB
23.02,46.34,Moraresti,Alba,AB
22.95,46.37,Vartanesti,Alba,AB
23.35,46.3,Butesti,Alba,AB
23.28,45.98,Curpeni,Alba,AB
23.07,46.31,Iacobesti,Alba,AB
23.55,46.22,Lupseni,Alba,AB
23.01,46.35,Napaiesti,Alba,AB
23.44,46,Dealu Ferului,Alba,AB
23.5,46.34,Floresti,Alba,AB
22.82,46.35,Valea Utului,Alba,AB
22.9,46.38,Vasesti,Alba,AB
23.14,46.42,Novacesti,Alba,AB
22.97,46.37,Ponorel,Alba,AB
23.22,46.19,Runc,Alba,AB
23.13,46.37,Stefanca,Alba,AB
23,46.32,Surdesti,Alba,AB
23.47,46.03,Valea lui Mihai,Alba,AB
23.56,46.31,Vladesti,Alba,AB
23.29,46.02,Bulbuc,Alba,AB
22.79,46.39,Cartulesti,Alba,AB
23.21,46.34,Curmatura,Alba,AB
22.96,46.5,Niculesti,Alba,AB
23.88,46.25,Ocnisoara,Alba,AB
23.33,46.03,Racatau,Alba,AB
23.41,46.04,Gura Cutului,Alba,AB
22.83,46.36,Soicesti,Alba,AB
23.12,46.4,Taranesti,Alba,AB
23.33,46.28,Barbesti,Alba,AB
22.95,46.4,Burzesti,Alba,AB
23.15,46.12,Dealu Roatei,Alba,AB
23.24,46.36,Barzan,Alba,AB
23.44,46.04,Hategana,Alba,AB
22.83,46.35,Jojei,Alba,AB
22.91,46.41,Lupaiesti,Alba,AB
23.46,46.03,Poienita,Alba,AB
23.08,46.4,Salagesti,Alba,AB
22.93,46.43,Totesti,Alba,AB
23.27,46.3,Valea Barlutesti,Alba,AB
23.25,46.01,Grosi,Alba,AB
23.14,46.23,Valea Poienii,Alba,AB
22.76,46.39,Casoaia,Alba,AB
22.92,46.41,Morcanesti,Alba,AB
23.5,46.27,Raicani,Alba,AB
22.97,46.5,Baba,Alba,AB
23.35,46.31,Barzogani,Alba,AB
23,46.3,Deoncesti,Alba,AB
23.27,46.03,Fantanele,Alba,AB
23.11,46.24,Feresti,Alba,AB
23.19,46.25,Lupulesti,Alba,AB
23.21,46.35,Parau-Carbunari,Alba,AB
22.94,46.37,Urdes,Alba,AB
23.16,46.27,Valcea,Alba,AB
22.94,46.46,Deve,Alba,AB
23.01,46.34,Nelegesti,Alba,AB
22.86,46.38,Segaj,Alba,AB
22.93,46.45,Tamboresti,Alba,AB
23.88,46.2,Padure,Alba,AB
23,46.37,Pitarcesti,Alba,AB
22.87,46.48,Trancesti,Alba,AB
23.26,46.02,Valea Mare,Alba,AB
23.09,46.31,Balmosesti,Alba,AB
22.88,46.42,Barlesti,Alba,AB
23.12,46.28,Bunta,Alba,AB
23.53,46.34,Olteni,Alba,AB
22.85,46.38,Gligoresti,Alba,AB
23.63,46.39,Rachis,Alba,AB
22.98,46.34,Sicoiesti,Alba,AB
23.2,46.32,Valea Holhorii,Alba,AB
23.16,46.29,Bisericani,Alba,AB
24.03,46.28,Valea Sasului,Alba,AB
23.1,46.42,Balesti,Alba,AB
22.83,46.38,Carasti,Alba,AB
22.8,46.49,Plisti,Alba,AB
23.29,46.3,Valea Cocesti,Alba,AB
23.02,46.26,Bidigesti,Alba,AB
23.35,46.28,Bocesti,Alba,AB
23.46,45.78,Goasele,Alba,AB
22.95,46.47,Sohodol,Alba,AB
22.72,46.48,Vanvucesti,Alba,AB
22.76,46.41,Badai,Alba,AB
23.36,46.3,Tomesti,Alba,AB
23.38,46.29,Barlesti-Catun,Alba,AB
23.16,46.25,Gura Izbitei,Alba,AB
23.17,46.3,Poiana,Alba,AB
23.02,46.37,Sorlita,Alba,AB
22.82,46.39,Avramesti,Alba,AB
23.14,46.28,Helesti,Alba,AB
22.88,46.38,Jeflesti,Alba,AB
22.88,46.38,Modolesti,Alba,AB
22.78,46.48,Ravicesti,Alba,AB
22.92,46.34,Bai,Alba,AB
23.82,46.22,Cornu,Alba,AB
23.14,46.25,Magura,Alba,AB
22.78,46.39,Tarsa-Plai,Alba,AB
23.16,46.34,Varsi-Rontu,Alba,AB
23.3,46.45,Cortesti,Alba,AB
23.39,46.27,Iliesti,Alba,AB
22.9,46.37,Lunca de Jos,Alba,AB
22.95,46.31,Valea Verde,Alba,AB
22.8,46.39,Achimetesti,Alba,AB
22.77,46.42,Candesti,Alba,AB
23.09,46.45,Cheleteni,Alba,AB
23.14,46.17,Dobrot,Alba,AB
22.81,46.37,Cocosesti,Alba,AB
22.84,46.51,Dealu Ordancusii,Alba,AB
23.39,46.27,Marinesti,Alba,AB
22.77,46.44,Scoarta,Alba,AB
23.21,46.24,Stalnisoara,Alba,AB
