PRESCURTARE JUDET,NUME
AB,ALBA
AR,ARAD
AG,ARGES
BC,BACAU
BH,BIHOR
BN,BISTRITA-NASAUD
BT,BOTOSANI
BV,BRASOV
BR,BRAILA
BZ,BUZAU
CS,CARAS-SEVERIN
CJ,CLUJ
CT,CONSTANTA
CV,COVASNA
DB,DIMBOVITA
DJ,DOLJ
GL,GALATI
GJ,GORJ
HR,HARGHITA
HD,HUNEDOARA
IL,IALOMITA
IS,IASI
IF,ILFOV
MM,MARAMURES
MH,MEHEDINTI
MS,MURES
NT,NEAMT
OT,OLT
PH,PRAHOVA
SM,SATU_MARE
SJ,SALAJ
SB,SIBIIU
SV,SUCEAVA
TR,TELEORMAN
TM,TIMIS
TL,TULCEA
VS,VASLUI
VL,VALCEA
VR,VRANCEA
B,BUCURESTI
CL,CALARASI
GR,GIURGIU
